Category,Title,Authors,Venue,Year,Language,Text type,Modalities,Learning type,Training type,Model categorie(s),Model type(s),Existing model(s)
Authorship attribution,Authorship attribution of ancient texts written by ten Arabic travelers using a SMO-SVM classifier,"Siham Ouamour, Halim Sayoud",International Conference on Communications and Information Technology (ICCIT),2012,Arabic,Books,Text,Supervised,Trained,Machine Learning,"Logistic Regression, MLP/NN, SVM, n-gram",
Authorship attribution,Authorship attribution of ancient texts written by ten Arabic travelers using character N-Grams,"Siham Ouamour, Halim Sayoud","International Conference on Computer, Information and Telecommunication Systems (CITS)",2013,Arabic,Books,Text,Supervised,Trained,Machine Learning,"Logistic Regression, MLP/NN, SVM, n-gram",
Authorship attribution,Authorship attribution of short historical Arabic texts based on lexical features,"Siham Ouamour, Halim Sayoud",International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery,2013,Arabic,Books,Text,Supervised,Trained,Machine Learning,"Logistic Regression, MLP/NN, SVM, n-gram",
Authorship attribution,Determining if two documents are written by the same author,"Moshe Koppel, Yaron Winter",Journal of the Association for Information Science and Technology,2014,Latin,Books,Text,,,Statistical,Similarity,
Authorship attribution,Authenticating the writings of Julius Caesar,"Mike Kestemont, Justin Stover, Moshe Koppel, Folgert Karsdorp, Walter Daelemans",Expert Systems with Applications,2016,Latin,Books,Text,,,Statistical,Similarity,
Authorship attribution,Computational authorship verification method attributes a new work to a major 2nd century African author,"Justin Anthony Stover, Yaron Winter, Moshe Koppel, Mike Kestemont",Journal of the Association for Information Science and Technology,2016,Latin,Books,Text,Supervised,Trained,Machine Learning,"SVM, Similarity",
Authorship attribution,An application of a profile-based method for authorship verification: Investigating the authenticity of Pliny the Younger's letter to Trajan concerning the Christians,Enrico Tuccinardi,Digital Scholarship in the Humanities,2017,Latin,literature,Text,,,Statistical,n-gram,
Authorship attribution,Devising Rhesus: A strange collaboration between Aeschylus and Euripides,"Nikos Manousakis, Efstathios Stamatatos",Digital Scholarship in the Humanities,2018,Ancient Greek,literature,Text,Supervised,Trained,Machine Learning,SVM,
Authorship attribution,A Comparative Survey of Authorship Attribution on Short Arabic Texts,"Siham Ouamour, Halim Sayoud",International Conference on Speech and Computer,2018,Arabic,Books,Text,Supervised,Trained,Machine Learning,"Logistic Regression, MLP/NN, SVM, n-gram",
Authorship attribution,Authorship attribution of the Golden Lotus based on text classification methods,"Xuemei Tang, Shichen Liang, Zhiying Liu",International Conference on Innovation in Artificial Intelligence,2019,Old Chinese,Poetry,Text,Supervised,Trained,Machine Learning,"K-NN, Logistic Regression, Probabilistic model, SVM, Trees/Random Forest, Trees/Random Forest",
Authorship attribution,The Un-Platonic Menexenus: A Stylometric Analysis with More Data,Thomas Koentges,"Greek, Roman, and Byzantine Studies",2020,Ancient Greek,Plato's dialogues,Text,Unsupervised,,Statistical,n-gram,
Authorship attribution,Authorship Attribution In Historical And Literary Texts By A Deep Learning Classifier,"Ehsan Reisi, Hassan Mahboob Farimani",Journal of Applied Intelligent Systems and Information Sciences,2020,Persian,Literature,Text,Supervised,Trained,Machine Learning,CNN,
Authorship attribution,Historia Augusta authorship: an approach based on Measurements of Complex Networks,"Armando Martins, Clara Grácio, Cláudia Teixeira, Irene Pimenta Rodrigues, Juan Luís Garcia Zapata, Lígia Ferreira",Applied Network Science,2021,Latin,literature,Text,Supervised,Trained,Machine Learning,K-NN,
Authorship attribution,BERT in Plutarch’s Shadows,"Ivan P Yamshchikov, Alexey Tikhonov, Yorgos Pantis, Charlotte Schubert, Jürgen Jost",Empirical Methods in Natural Language Processing (EMNLP),2022,Ancient Greek,literature,Text,Supervised & Self-supervised,Trained,Deep Learning,Transformer,BERT
Authorship attribution,Computational Authorship Analysis of the Homeric Poems,"John Pavlopoulos, Maria Konstantinidou",International Journal of Digital Humanities,2022,Ancient Greek,literature,Text,Self-supervised,Trained,Statistical,"Probabilistic model, n-gram",
